geoid,name,B01002000.5 - Median age --,"B01002000.5 - Median age --, Error",B01002001 - Total:,"B01002001 - Total:, Error",B01002002 - Male,"B01002002 - Male, Error",B01002003 - Female,"B01002003 - Female, Error"
05000US19163,"Scott County, IA",,,37.4,0.2,36.4,0.3,38.3,0.3
05000US19165,"Shelby County, IA",,,45.8,0.6,44.3,0.7,46.6,0.6
05000US19167,"Sioux County, IA",,,32.9,0.3,32.1,0.4,34.1,0.5
05000US19169,"Story County, IA",,,26.5,0.2,25.4,0.2,28,0.4
05000US19171,"Tama County, IA",,,42.1,0.5,41.2,0.6,42.8,0.5
05000US19173,"Taylor County, IA",,,44.3,0.4,43.2,0.6,45.8,0.5
05000US19175,"Union County, IA",,,41.5,0.5,40.2,1.4,43.3,1.2
05000US19177,"Van Buren County, IA",,,43.8,1.1,41.8,1.1,45.4,0.8
05000US19179,"Wapello County, IA",,,39.9,0.4,38.4,0.9,41.3,0.5
05000US19181,"Warren County, IA",,,38.5,0.4,37.2,0.6,39.4,0.4
05000US19183,"Washington County, IA",,,41.9,0.6,40.8,0.6,43.4,0.5
05000US19185,"Wayne County, IA",,,45.4,0.3,44.5,0.7,46,0.5
05000US19187,"Webster County, IA",,,40,0.5,36.5,1.5,43,0.6
05000US19189,"Winnebago County, IA",,,43.8,0.7,41.4,1.3,45.7,0.5
05000US19191,"Winneshiek County, IA",,,40.2,0.4,39.4,0.9,40.9,0.6
05000US19193,"Woodbury County, IA",,,35.2,0.1,34.1,0.3,36.4,0.3
05000US19195,"Worth County, IA",,,43.9,0.4,43.5,0.6,44.4,0.4
05000US19197,"Wright County, IA",,,44.4,0.5,43.7,0.8,46.1,1.8
