geoid,name,B02001001 - Total:,"B02001001 - Total:, Error",B02001002 - White alone,"B02001002 - White alone, Error",B02001003 - Black or African American alone,"B02001003 - Black or African American alone, Error",B02001004 - American Indian and Alaska Native alone,"B02001004 - American Indian and Alaska Native alone, Error",B02001005 - Asian alone,"B02001005 - Asian alone, Error",B02001006 - Native Hawaiian and Other Pacific Islander alone,"B02001006 - Native Hawaiian and Other Pacific Islander alone, Error",B02001007 - Some other race alone,"B02001007 - Some other race alone, Error",B02001008 - Two or more races:,"B02001008 - Two or more races:, Error",B02001009 - Two races including Some other race,"B02001009 - Two races including Some other race, Error","B02001010 - Two races excluding Some other race, and three or more races","B02001010 - Two races excluding Some other race, and three or more races, Error"
05000US19135,"Monroe County, IA",7979,0,7701,38,50,55,99,92,67,68,0,14,47,57,15,25,0,14,15,25
05000US19137,"Montgomery County, IA",10710,0,10413,96,4,6,0,16,11,15,0,16,109,96,173,24,8,14,165,21
05000US19139,"Muscatine County, IA",42729,0,39782,452,574,139,124,97,428,51,0,21,1066,371,755,194,145,101,610,175
05000US19141,"O'Brien County, IA",14302,0,13823,116,30,26,36,38,49,36,0,16,142,103,222,81,16,26,206,84
05000US19143,"Osceola County, IA",6413,0,6305,17,42,37,21,31,15,18,0,14,7,11,23,22,8,14,15,17
05000US19145,"Page County, IA",15902,0,15046,92,353,76,40,30,143,20,0,16,121,90,199,81,7,12,192,80
05000US19147,"Palo Alto County, IA",9402,0,9222,15,37,41,28,30,35,27,0,14,0,14,80,55,4,7,76,55
05000US19149,"Plymouth County, IA",24911,0,24018,196,36,32,58,57,169,69,0,18,298,151,332,127,93,102,239,62
05000US19151,"Pocahontas County, IA",7307,0,7145,55,63,17,3,4,3,4,14,16,35,55,44,18,2,5,42,17
05000US19153,"Polk County, IA",431811,0,368901,1390,25438,602,1132,361,15608,394,288,104,9719,1258,10725,1161,828,220,9897,1152
05000US19155,"Pottawattamie County, IA",92793,0,87293,540,1257,210,260,106,625,101,8,14,1814,537,1536,285,172,131,1364,257
05000US19157,"Poweshiek County, IA",18888,0,17997,63,182,69,37,42,342,65,4,8,72,32,254,99,16,21,238,96
05000US19159,"Ringgold County, IA",5123,0,5042,12,5,9,24,22,20,20,0,14,0,14,32,27,0,14,32,27
05000US19161,"Sac County, IA",10307,0,10116,46,75,27,5,8,21,26,4,5,49,47,37,29,13,18,24,22
05000US19163,"Scott County, IA",165432,0,143495,484,11980,467,415,153,3270,195,0,23,1685,302,4587,662,673,226,3914,647
05000US19165,"Shelby County, IA",12158,0,11847,95,10,15,8,7,90,28,12,18,44,30,147,76,86,73,61,16
05000US19167,"Sioux County, IA",33776,0,31614,380,175,45,75,37,291,17,0,21,1296,357,325,126,140,95,185,82
05000US19169,"Story County, IA",89734,0,79969,215,2516,207,131,86,5530,220,0,23,526,160,1062,324,40,33,1022,319
05000US19171,"Tama County, IA",17746,0,15759,161,98,30,1286,119,59,22,0,16,230,120,314,95,35,39,279,94
05000US19173,"Taylor County, IA",6292,0,6048,89,6,8,29,28,29,20,0,14,101,67,79,52,0,14,79,52
05000US19175,"Union County, IA",12525,0,12065,42,270,151,11,17,12,19,0,16,1,2,166,122,0,16,166,122
05000US19177,"Van Buren County, IA",7565,0,7442,16,20,19,7,9,26,22,0,14,14,15,56,23,0,14,56,23
05000US19179,"Wapello County, IA",35449,0,33122,322,469,88,68,64,314,32,0,21,894,269,582,141,25,28,557,136
05000US19181,"Warren County, IA",46239,0,44988,91,218,116,31,42,171,72,31,44,146,86,654,122,46,42,608,122
05000US19183,"Washington County, IA",21765,0,20625,195,185,96,6,8,58,55,22,33,521,179,348,111,92,77,256,82
05000US19185,"Wayne County, IA",6372,0,6277,46,5,9,6,9,26,19,0,14,0,14,58,39,0,14,58,39
05000US19187,"Webster County, IA",37895,0,34950,240,1628,239,65,48,245,69,0,21,382,192,625,227,89,89,536,218
05000US19189,"Winnebago County, IA",10800,0,10414,93,94,65,18,15,39,42,2,3,61,50,172,91,62,52,110,74
05000US19191,"Winneshiek County, IA",21033,0,20345,82,173,17,97,54,195,50,0,18,123,78,100,42,15,15,85,38
05000US19193,"Woodbury County, IA",101948,0,85453,861,2518,326,1785,350,2547,153,174,213,6377,906,3094,565,410,301,2684,543
05000US19195,"Worth County, IA",7581,0,7423,27,25,24,1,4,6,8,0,14,23,18,103,29,9,11,94,27
05000US19197,"Wright County, IA",13173,0,12493,259,32,34,17,29,34,26,30,45,450,251,117,54,10,18,107,52
